draft,categories,layout,title,url,slug,ext,tags
false,,publication,Prime Times: Writers on Their Favorite TV Shows,"",prime-times-writers-on-their-favorite-tv-shows,.md,
false,,publication,Publisher's Weekly,,publishers_weekly,.md,
false,,publication,Rave Culture and Religion,"",rave-culture-and-religion,.md,
false,,publication,Reboot,"",reboot,.md,
false,,publication,Rebooting America: Ideas for Redesigning American Democracy for the Internet Age,"",rebooting-america-ideas-for-redesigning-american-democracy-for-the-internet-age,.md,
false,,publication,Red Herring,,red_herring,.md,
false,,publication,Rushkoff.com,"",rushkoff.com,.md,
false,,publication,San Francisco Chronicle,"",san-francisco-chronicle,.md,
false,,publication,School Library Journal,"",school-library-journal,.md,
false,,publication,School Library Journal,,school_library_journal,.md,
false,,publication,SEED,,seed,.md,
false,,publication,Seize The Day,"",seize-the-day,.md,
false,,publication,Shareable,,shareable,.md,
false,,publication,Shift,"",shift,.md,
false,,publication,Silicon Alley Reporter,"",silicon-alley-reporter,.md,
false,,publication,Smith,"",smith,.md,
false,,publication,Sociological Quarterly,"",sociological-quarterly,.md,
false,,publication,Solstice Shift: Magical Blend's Synergistic Guide to the Coming Age,"",solstice-shift-magical-blend-s-synergistic-guide-to-the-coming-age,.md,
false,,publication,Space Cadet,"",space-cadet,.md,
false,,publication,Sportswear International,,sportswear_international,.md,
false,,publication,Suicide Girls - Papercuts,"",suicide-girls-papercuts,.md,
false,,publication,SuperConsciousness,"",superconsciousness,.md,
false,,publication,Swing,,swing,.md,
false,,publication,Telemedium: The Journal of Media Literacy,"",telemedium-the-journal-of-media-literacy,.md,
false,,publication,Testament,"",testament,.md,
false,,publication,"The Economics, Technology and Content of Digital TV","",the-economics-technology-and-content-of-digital-tv,.md,
false,,publication,The Edge,"",the-edge,.md,
false,,publication,The Good Book Guide,"",the-good-book-guide,.md,
false,,publication,"The Greatest Inventions of the Past 2,000 Years","",the-greatest-inventions-of-the-past-2-000-years,.md,
false,,publication,The Image: A Guide to Pseudo-Events in America,"",the-image-a-guide-to-pseudo-events-in-america,.md,
false,,publication,The New Top Line,"",the-new-top-line,.md,
false,,publication,The Pot Book,"",the-pot-book,.md,
false,,publication,The Thresher,"",the-thresher,.md,
false,,publication,The Tomorrow Project: Bestselling Authors Describe Daily Life in the Future,"",the-tomorrow-project-bestselling-authors-describe-daily-life-in-the-future,.md,
false,,publication,The Week,"",the-week,.md,
false,,publication,The Free Nerd,http://thefreenerd.org,thefreenerd,.md,
false,,publication,This Idea Must Die,"",this-idea-must-die,.md,
false,,publication,This Magazine,"",this-magazine,.md,
false,,publication,This Will Change Everything,"",this-will-change-everything,.md,
false,,publication,This Will Make You Smarter,"",this-will-make-you-smarter,.md,
false,,publication,This,,this,.md,
false,,publication,Tikkun,"",tikkun,.md,
false,,publication,Time Digital,"",time-digital,.md,
false,,publication,Time,,time,.md,
false,,publication,Timothy McSweeney's Quarterly Concern,"",timothy-mcsweeney-s-quarterly-concern,.md,
false,,publication,Transformations in the Nervepool: The Rituals and Zoacodes of Ebon Fisher,"",transformations-in-the-nervepool-the-rituals-and-zoacodes-of-ebon-fisher,.md,
false,,publication,Unbored: The Essential Field Guide to Serious Fun,"",unbored-the-essential-field-guide-to-serious-fun,.md,
false,,publication,Uncategorized,,uncategorized,.md,
false,,publication,Upside,,upside,.md,
false,,publication,USA Weekend,"",usa-weekend,.md,
false,,publication,Uses of Blogs,"",uses-of-blogs,.md,
false,,publication,Wall Street Journal,,wall_street_journal,.md,
false,,publication,Washington Times,,washington_times,.md,
false,,publication,We Know What You Want,"",we-know-what-you-want,.md,
false,,publication,What Are You Optimistic About?,"",what-are-you-optimistic-about,.md,
false,,publication,What Comes After Money?,"",what-comes-after-money,.md,
false,,publication,What Israel Means to Me,"",what-israel-means-to-me,.md,
false,,publication,What Makes a Man: 22 Writers Imagine the Future,"",what-makes-a-man-22-writers-imagine-the-future,.md,
false,,publication,What Should We Be Worried About?,"",what-should-we-be-worried-about,.md,
false,,publication,What To Think About Machines That Think,"",what-to-think-about-machines-that-think,.md,
false,,publication,What We Believe But Cannot Prove,"",what-we-believe-but-cannot-prove,.md,
false,,publication,When Things Learn,"",when-things-learn,.md,
false,,publication,World Review,"",world-review,.md,
false,,publication,Wrestling With Zion,"",wrestling-with-zion,.md,
false,,publication,Write Now!,"",write-now,.md,
false,,publication,XY Magazine,"",xy-magazine,.md,
false,,publication,Yahoo! Internet Life,,yahoo_internet_life,.md,
false,,publication,Zeek,"",zeek,.md,
